dates,qps,latency
2008-08-01 00:00:00,8436,24.267658507923862
2008-08-02 00:00:00,19877,44.77655605121785
2008-08-03 00:00:00,17035,66.79529670969188
2008-08-04 00:00:00,16372,34.29585201758954
2008-08-05 00:00:00,14679,14.464453678223023
2008-08-06 00:00:00,10316,25.471178445937674
2008-08-07 00:00:00,8835,34.09717249589209
2008-08-01 01:00:00,10433,47.12383569877073
2008-08-02 01:00:00,15014,67.12909068529497
2008-08-03 01:00:00,25904,65.49931084104364
2008-08-04 01:00:00,11945,15.560745771301313
2008-08-05 01:00:00,14692,86.29910874928106
2008-08-06 01:00:00,10280,4.179939396828495
2008-08-07 01:00:00,16825,45.71970040255148
2008-08-01 02:00:00,20295,6.802202735016245
2008-08-02 02:00:00,17118,67.17571866789007
2008-08-03 02:00:00,7202,29.432153227095668
2008-08-04 02:00:00,12182,17.702188072174124
2008-08-05 02:00:00,8157,72.98022144294026
2008-08-06 02:00:00,8856,52.34546276689905
2008-08-07 02:00:00,12218,83.66653753763
2008-08-01 03:00:00,7523,29.75311797409395
2008-08-02 03:00:00,14278,88.83640982474171
2008-08-03 03:00:00,25675,16.636166064081543
2008-08-04 03:00:00,3227,37.16873066917266
2008-08-05 03:00:00,9085,34.07548725593735
2008-08-06 03:00:00,12912,29.840966213609605
2008-08-07 03:00:00,29267,10.805948319257116
2008-08-01 04:00:00,12720,59.748659748772
2008-08-02 04:00:00,6347,7.29567489079308
2008-08-03 04:00:00,2310,62.06828622532863
2008-08-04 04:00:00,22767,49.198899647237724
2008-08-05 04:00:00,4778,42.3644871876559
2008-08-06 04:00:00,16446,64.39989082966113
2008-08-07 04:00:00,10602,48.66994238755103
2008-08-01 05:00:00,6428,51.150347323055584
2008-08-02 05:00:00,17302,38.83936595783465
2008-08-03 05:00:00,7176,56.70278652002105
2008-08-04 05:00:00,23191,26.033713704025672
2008-08-05 05:00:00,16715,41.28801766394154
2008-08-06 05:00:00,15053,39.475218908321146
2008-08-07 05:00:00,13491,13.141131866955313
2008-08-01 06:00:00,7684,12.955846042919624
2008-08-02 06:00:00,22285,62.23641058443114
2008-08-03 06:00:00,25931,41.412939321157765
2008-08-04 06:00:00,9441,52.65788533186677
2008-08-05 06:00:00,21346,57.742205429263464
2008-08-06 06:00:00,9179,25.53653666548238
2008-08-07 06:00:00,23050,69.87953915019138
2008-08-01 07:00:00,8633,9.481943681361543
2008-08-02 07:00:00,12875,69.98570139025134
2008-08-03 07:00:00,22541,19.68599914979183
2008-08-04 07:00:00,20363,33.33134236250153
2008-08-05 07:00:00,9029,41.79987693355646
2008-08-06 07:00:00,7216,25.473108996148845
2008-08-07 07:00:00,25226,37.319751763474876
2008-08-01 08:00:00,1779,50.38754800455073
2008-08-02 08:00:00,21740,34.01959989836974
2008-08-03 08:00:00,10494,26.44623045290801
2008-08-04 08:00:00,5906,43.87362459183734
2008-08-05 08:00:00,1314,7.99710845662409
2008-08-06 08:00:00,15439,55.780572343472436
2008-08-07 08:00:00,33111,49.472286560308255
2008-08-01 09:00:00,13458,35.315247157508445
2008-08-02 09:00:00,15170,56.61998132786256
2008-08-03 09:00:00,3847,67.69649790897914
2008-08-04 09:00:00,24091,10.256995350871179
2008-08-05 09:00:00,22061,7.9731661438707775
2008-08-06 09:00:00,130,38.04860094558121
2008-08-07 09:00:00,14058,35.81296503393262
2008-08-01 10:00:00,18634,25.427349629586807
2008-08-02 10:00:00,4489,12.708385106105926
2008-08-03 10:00:00,6112,13.197722438945
2008-08-04 10:00:00,3022,68.4771794485126
2008-08-05 10:00:00,20199,87.23780251901741
2008-08-06 10:00:00,1687,36.841503750627496
2008-08-07 10:00:00,17772,70.83043932009427
2008-08-01 11:00:00,13601,64.82653797435373
2008-08-02 11:00:00,4349,68.8440088902239
2008-08-03 11:00:00,19245,59.96530781201365
2008-08-04 11:00:00,11525,56.56497399392443
2008-08-05 11:00:00,10351,109.70031367362255
2008-08-06 11:00:00,2582,57.93590366285845
2008-08-07 11:00:00,13088,38.14630057783429
2008-08-01 12:00:00,3606,54.41634596820692
2008-08-02 12:00:00,19681,33.8465984465583
2008-08-03 12:00:00,17553,31.964265152021863
2008-08-04 12:00:00,2098,26.842675563134733
2008-08-05 12:00:00,10844,16.136348162654286
2008-08-06 12:00:00,10015,72.28908738668295
2008-08-07 12:00:00,12048,27.342753482561804
2008-08-01 13:00:00,3279,75.8280146657421
2008-08-02 13:00:00,13729,62.20519724946106
2008-08-03 13:00:00,6948,43.84645576625099
2008-08-04 13:00:00,26576,2.5477329698020412
2008-08-05 13:00:00,9032,53.19831354182458
2008-08-06 13:00:00,19575,41.485829486919236
2008-08-07 13:00:00,13605,57.219874495786385
2008-08-01 14:00:00,8154,48.931423560612814
2008-08-02 14:00:00,22796,27.14280616291326
2008-08-03 14:00:00,8232,32.09492376893262
2008-08-04 14:00:00,5934,5.329862024091554
2008-08-05 14:00:00,20498,54.723374592377496
2008-08-06 14:00:00,1163,51.84664886740222
2008-08-07 14:00:00,2110,58.45561144904495
2008-08-01 15:00:00,22228,54.31011270133851
2008-08-02 15:00:00,16087,68.64586034720458
2008-08-03 15:00:00,14023,49.212594767077306
2008-08-04 15:00:00,10583,49.91413039790967
2008-08-05 15:00:00,17308,50.07549490069379
2008-08-06 15:00:00,17527,4.827295124861003
2008-08-07 15:00:00,3127,33.54353650876201
2008-08-01 16:00:00,12062,20.230586984804305
2008-08-02 16:00:00,8703,24.79139978987171
2008-08-03 16:00:00,501,69.30953830479957
2008-08-04 16:00:00,1748,9.829623033998882
2008-08-05 16:00:00,19882,39.03849115523285
2008-08-06 16:00:00,20866,33.413514252543145
2008-08-07 16:00:00,21331,73.52330093599241
2008-08-01 17:00:00,8769,18.102528392014325
2008-08-02 17:00:00,2453,4.042079952622608
2008-08-03 17:00:00,7286,42.45136156737548
2008-08-04 17:00:00,6496,21.32047040276504
2008-08-05 17:00:00,8970,45.10680935959853
2008-08-06 17:00:00,8043,59.26274498340823
2008-08-07 17:00:00,2011,30.43170746937699
2008-08-01 18:00:00,6924,63.33963099698512
2008-08-02 18:00:00,6135,20.8860212006934
2008-08-03 18:00:00,212,41.129594822891
2008-08-04 18:00:00,6565,43.230356044896645
2008-08-05 18:00:00,8030,50.25244105500137
2008-08-06 18:00:00,8427,47.05162553176804
2008-08-07 18:00:00,6695,4.714285454092639
2008-08-01 19:00:00,19173,1.057218858690021
2008-08-02 19:00:00,8658,39.244412331598234
2008-08-03 19:00:00,12256,45.85688635051976
2008-08-04 19:00:00,10834,12.557796069867049
2008-08-05 19:00:00,5486,34.7851782598432
2008-08-06 19:00:00,10180,72.50482133277634
2008-08-07 19:00:00,16064,68.73196015813797
2008-08-01 20:00:00,9164,40.25576673014594
2008-08-02 20:00:00,13257,95.47163514902826
2008-08-03 20:00:00,5904,1.93334021567577
2008-08-04 20:00:00,3867,82.14655313320264
2008-08-05 20:00:00,19577,81.84800543308918
2008-08-06 20:00:00,8612,50.26103607823874
2008-08-07 20:00:00,7824,48.365416912495476
2008-08-01 21:00:00,13315,25.58394131405042
2008-08-02 21:00:00,10154,24.495435680073804
2008-08-03 21:00:00,22285,29.3144528315285
2008-08-04 21:00:00,7926,43.49636786960315
2008-08-05 21:00:00,21499,60.988128082088664
2008-08-06 21:00:00,585,36.45682098238353
2008-08-07 21:00:00,3082,51.69381411605118
2008-08-01 22:00:00,9244,30.496988483807144
2008-08-02 22:00:00,16244,63.7088222524073
2008-08-03 22:00:00,5393,21.294113249895997
2008-08-04 22:00:00,17662,4.282936302447055
2008-08-05 22:00:00,13863,22.89035580081939
2008-08-06 22:00:00,13541,33.89502992947044
2008-08-07 22:00:00,14807,81.74591741875265
2008-08-01 23:00:00,14593,82.55387288089304
2008-08-02 23:00:00,18306,25.474838473590268
2008-08-03 23:00:00,1859,87.03311702846497
2008-08-04 23:00:00,15665,50.581588092576595
2008-08-05 23:00:00,4414,68.27387210427477
2008-08-06 23:00:00,20866,74.14102519423238
2008-08-07 23:00:00,9233,8.582132898430427
